Experiment	RNA editing site	Location	Gene	dFI	p-value	FDR
ND-MSC-mir138-KD	chr5:140757903	intronic	"PCDHGA1,PCDHGA2,PCDHGA3,PCDHGA4,PCDHGA5,PCDHGA6,PCDHGB1,PCDHGB2,PCDHGB3"	-0.270588235	0.000881834	0.044336121
ND-MSC-mir138-KD	chr5:145511629	intronic	LARS	0.4	0.000340283	0.027225551
ND-MSC-mir138-KD	chr5:148928300	intronic	CSNK1A1	0.303827751	0.000249273	0.023096359
ND-MSC-mir138-KD	chr5:149898438	intronic	NDST1	-0.242424242	0.000886902	0.044379856
ND-MSC-mir138-KD	chr5:153804266	ncRNA_intronic	SAP30L-AS1	0.178018576	0.000155972	0.018067888
ND-MSC-mir138-KD	chr5:162873915	UTR3	NUDCD2	0.348484848	0.000374097	0.02836701
ND-MSC-mir138-KD	chr5:171758027	intronic	SH3PXD2B	0.354545455	0.000960792	0.04661816
ND-MSC-mir138-KD	chr5:172465257	intergenic	"ATP6V0E1,Y_RNA"	0.312820513	0.000515387	0.033073354
ND-MSC-mir138-KD	chr5:175803284	UTR3	ARL10	-0.408668731	4.66E-05	0.010130513
ND-MSC-mir138-KD	chr5:175814742	intronic	NOP16	-0.208333333	0.000483276	0.032221883
ND-MSC-mir138-KD	chr5:175814752	intronic	NOP16	-0.311965812	8.34E-05	0.013538046
ND-MSC-mir138-KD	chr5:175814753	intronic	NOP16	-0.311965812	1.71E-05	0.006165735
ND-MSC-mir138-KD	chr5:175814756	intronic	NOP16	-0.504901961	7.23E-06	0.003963393
ND-MSC-mir138-KD	chr5:176496563	intronic	ZNF346	-0.484848485	5.09E-05	0.010602919
ND-MSC-mir138-KD	chr5:177040372	ncRNA_intronic	RP11-1277A3.1	0.409090909	2.68E-05	0.007896307
ND-MSC-mir138-KD	chr5:177644415	intronic	PHYKPL	0.3125	0.000215168	0.021457188
ND-MSC-mir138-KD	chr5:179271324	intronic	C5orf45	-0.191176471	0.000158195	0.018117798
ND-MSC-mir138-KD	chr5:179284080	intronic	C5orf45	0.465217391	1.19E-05	0.005214097
ND-MSC-mir138-KD	chr5:179670996	intronic	MAPK9	0.433566434	9.95E-05	0.014408888
ND-MSC-mir138-KD	chr5:32094869	intronic	PDZD2	0.716666667	7.61E-07	0.001224751
ND-MSC-mir138-KD	chr5:32382173	intronic	ZFR	0.36	0.000204934	0.020919649
ND-MSC-mir138-KD	chr5:34953446	intronic	DNAJC21	-0.275	0.000224166	0.021918228
ND-MSC-mir138-KD	chr5:37099844	intergenic	"NIPBL,C5orf42"	0.291592129	0.00028059	0.024442917
ND-MSC-mir138-KD	chr5:37288767	UTR3	NUP155	-0.4375	6.77E-05	0.012012315
ND-MSC-mir138-KD	chr5:40829912	UTR3	RPL37	-0.264615385	0.000516034	0.033073354
ND-MSC-mir138-KD	chr5:40830050	UTR3	RPL37	-0.253227408	7.98E-05	0.013246723
ND-MSC-mir138-KD	chr5:43377482	intergenic	"RP11-159F24.2,CCL28"	-0.333333333	0.000757931	0.041093715
ND-MSC-mir138-KD	chr5:60162777	upstream	RP11-231G3.1	0.4	6.19E-05	0.011542063
ND-MSC-mir138-KD	chr5:60452684	downstream	SMIM15	0.409090909	6.42E-05	0.011631767
ND-MSC-mir138-KD	chr5:64963877	UTR3	SGTB	0.361538462	0.000279152	0.024391385
ND-MSC-mir138-KD	chr5:68430212	ncRNA_intronic	CTC-498J12.3	0.52020202	1.14E-06	0.001618621
ND-MSC-mir138-KD	chr5:70859618	intronic	BDP1	0.333333333	0.000691653	0.03922439
ND-MSC-mir138-KD	chr5:74673727	intronic	COL4A3BP	0.199404762	8.90E-05	0.014055545
ND-MSC-mir138-KD	chr5:74674821	intronic	COL4A3BP	0.111788618	0.00100454	0.047795357
ND-MSC-mir138-KD	chr5:74674968	intronic	COL4A3BP	0.371428571	0.000179334	0.019432147
ND-MSC-mir138-KD	chr5:95229881	intronic	ELL2	-0.193043478	0.00098568	0.047368944
ND-MSC-mir138-KD	chr5:95256138	intronic	ELL2	0.291304348	6.00E-05	0.011510837
ND-MSC-mir138-KD	chr6:105546950	UTR3	BVES	0.274211712	0.000138814	0.017150855
ND-MSC-mir138-KD	chr6:107361871	intronic	C6orf203	-0.294444444	0.000286348	0.0247722
ND-MSC-mir138-KD	chr6:111218687	intergenic	"AMD1,GTF3C6"	0.471590909	3.58E-06	0.002850978
ND-MSC-mir138-KD	chr6:111218833	intergenic	"AMD1,GTF3C6"	0.693181818	6.27E-09	7.73E-05
ND-MSC-mir138-KD	chr6:111289304	downstream	GTF3C6	-0.277777778	0.000761791	0.041157244
ND-MSC-mir138-KD	chr6:111290427	downstream	AL357515.1	0.347593583	0.000731498	0.040295532
ND-MSC-mir138-KD	chr6:111290432	downstream	AL357515.1	0.429411765	2.60E-05	0.007801731
ND-MSC-mir138-KD	chr6:111290469	downstream	AL357515.1	0.375	0.000477725	0.032112138
ND-MSC-mir138-KD	chr6:111291059	ncRNA_exonic	AL357515.1	-0.2125	0.000598595	0.036252695
ND-MSC-mir138-KD	chr6:111291076	upstream	AL357515.1	-0.233333333	0.000493124	0.032417277
ND-MSC-mir138-KD	chr6:111625165	intronic	REV3L	0.294642857	3.41E-05	0.008351664
ND-MSC-mir138-KD	chr6:122736036	intronic	HSF2	-0.409090909	3.37E-05	0.008351664
ND-MSC-mir138-KD	chr6:149833944	intronic	PPIL4	-0.577540107	5.21E-07	0.000940732
ND-MSC-mir138-KD	chr6:150046350	UTR3	NUP43	0.176483516	0.000647626	0.03785899
ND-MSC-mir138-KD	chr6:150143611	intronic	LRP11	0.218954248	0.000125739	0.016168967
ND-MSC-mir138-KD	chr6:151304037	intronic	MTHFD1L	0.423076923	5.88E-05	0.011414966
ND-MSC-mir138-KD	chr6:158500585	intronic	SYNJ2	-0.603896104	5.76E-07	0.001015083
ND-MSC-mir138-KD	chr6:159394435	UTR3	RSPH3	0.278195489	0.000836245	0.043364946
ND-MSC-mir138-KD	chr6:159396138	UTR3	RSPH3	-0.18974359	0.000359342	0.027813276
ND-MSC-mir138-KD	chr6:167434277	ncRNA_intronic	RP11-517H2.6	-0.3	0.000811115	0.042550451
ND-MSC-mir138-KD	chr6:26095637	UTR3	HFE	0.219047619	0.000852683	0.043749285
ND-MSC-mir138-KD	chr6:27090751	ncRNA_exonic	RP1-86C11.7	0.222222222	0.000396898	0.029373642
ND-MSC-mir138-KD	chr6:27091196	upstream	RP1-86C11.7	0.238095238	0.000145873	0.017468854
ND-MSC-mir138-KD	chr6:27092656	intergenic	"RP1-86C11.7,HIST1H2BJ"	0.20242915	0.001104103	0.049873996
ND-MSC-mir138-KD	chr6:28877786	intronic	TRIM27	0.268421053	0.00094736	0.046201846
ND-MSC-mir138-KD	chr6:30560965	intergenic	"ABCF1,PPP1R10"	0.238095238	0.000628703	0.037282869
ND-MSC-mir138-KD	chr6:30629081	intronic	DHX16	-0.399038462	0.000813517	0.042639361
ND-MSC-mir138-KD	chr6:30701001	intronic	FLOT1	-0.30952381	0.000373064	0.028341296
ND-MSC-mir138-KD	chr6:31383328	ncRNA_intronic	HCP5	-0.296969697	0.000309895	0.0258565
ND-MSC-mir138-KD	chr6:31383573	ncRNA_intronic	HCP5	-0.181818182	0.000883815	0.044345335
ND-MSC-mir138-KD	chr6:31640459	UTR3	"CSNK2B-LY6G5B-1181,LY6G5B"	0.319498911	1.05E-06	0.001522608
ND-MSC-mir138-KD	chr6:31640460	UTR3	"CSNK2B-LY6G5B-1181,LY6G5B"	0.26034713	2.33E-05	0.007328748
ND-MSC-mir138-KD	chr6:31640495	UTR3	"CSNK2B-LY6G5B-1181,LY6G5B"	0.130459127	0.000731602	0.040295532
ND-MSC-mir138-KD	chr6:31640779	UTR3	"CSNK2B-LY6G5B-1181,LY6G5B"	0.161865008	0.000685749	0.038979183
ND-MSC-mir138-KD	chr6:31640912	UTR3	"CSNK2B-LY6G5B-1181,LY6G5B"	0.183042448	0.00026491	0.023938252
ND-MSC-mir138-KD	chr6:31716797	intronic	"MSH5,MSH5-SAPCD1"	-0.395238095	4.24E-05	0.009386246
ND-MSC-mir138-KD	chr6:32132838	intronic	"EGFL8,PPT2,PPT2-EGFL8"	-0.468531469	0.000424356	0.030330349
ND-MSC-mir138-KD	chr6:34219943	intergenic	"C6orf1,RP11-513I15.6"	0.304029304	5.98E-05	0.011510837
ND-MSC-mir138-KD	chr6:34389260	intronic	"RPS10,RPS10-NUDT3"	0.636363636	2.41E-07	0.000588095
ND-MSC-mir138-KD	chr6:35538412	intergenic	"RP3-340B19.3,FKBP5"	-0.228070175	0.000424989	0.030330349
ND-MSC-mir138-KD	chr6:35538414	intergenic	"RP3-340B19.3,FKBP5"	-0.173174873	0.00069308	0.039224771
ND-MSC-mir138-KD	chr6:35538415	intergenic	"RP3-340B19.3,FKBP5"	-0.180701754	0.00059104	0.035971783
ND-MSC-mir138-KD	chr6:35540298	intergenic	"RP3-340B19.3,FKBP5"	-0.147619048	0.000534199	0.03381619
ND-MSC-mir138-KD	chr6:35617922	intronic	FKBP5	-0.3375	0.000987951	0.047395013
ND-MSC-mir138-KD	chr6:36111815	intergenic	"Z95152.1,RP1-179N16.6"	-0.409090909	0.000604305	0.036479122
ND-MSC-mir138-KD	chr6:36468862	intronic	STK38	0.280701754	6.08E-05	0.011510837
ND-MSC-mir138-KD	chr6:36468878	intronic	STK38	0.294505495	1.45E-05	0.005814638
ND-MSC-mir138-KD	chr6:36511610	intronic	STK38	0.353535354	3.34E-05	0.008351664
ND-MSC-mir138-KD	chr6:36942695	intronic	MTCH1	-0.300309598	0.000229853	0.022178571
ND-MSC-mir138-KD	chr6:36942696	intronic	MTCH1	-0.300309598	0.000393816	0.029233197
ND-MSC-mir138-KD	chr6:42001351	intronic	CCND3	0.256944444	3.01E-05	0.008194344
ND-MSC-mir138-KD	chr6:42002011	intronic	CCND3	0.577540107	1.33E-08	0.000122609
ND-MSC-mir138-KD	chr6:42002023	intronic	CCND3	0.207692308	0.000927642	0.045689788
ND-MSC-mir138-KD	chr6:42849442	intronic	RPL7L1	-0.383333333	0.000450051	0.031109791
ND-MSC-mir138-KD	chr6:42945312	intronic	PEX6	0.257692308	0.000124379	0.016074816
ND-MSC-mir138-KD	chr6:42945746	intronic	PEX6	0.297979798	0.000540973	0.034073446
ND-MSC-mir138-KD	chr6:42945784	intronic	PEX6	0.481481481	1.92E-06	0.002054296
ND-MSC-mir138-KD	chr6:42945820	intronic	PEX6	0.272580645	3.79E-05	0.008715508
ND-MSC-mir138-KD	chr6:42997457	downstream	RRP36	-0.159856997	0.00089689	0.044728441
ND-MSC-mir138-KD	chr6:43000885	downstream	RP1-20C7.6	0.197916667	0.000818908	0.042759698
ND-MSC-mir138-KD	chr6:43557975	ncRNA_intronic	RP3-337H4.8	-0.402597403	0.000580428	0.035589302
ND-MSC-mir138-KD	chr6:46625071	intronic	SLC25A27	-0.208571429	0.000487345	0.032369356
ND-MSC-mir138-KD	chr6:48046707	intergenic	"PTCHD4,AL391538.1"	-0.393665158	6.30E-05	0.011550082
ND-MSC-mir138-KD	chr6:53157465	intronic	ELOVL5	0.438461538	0.000439757	0.030732301
ND-MSC-mir138-KD	chr6:56921946	intergenic	"KIAA1586,ZNF451"	-0.238866397	0.00068104	0.038810019
ND-MSC-mir138-KD	chr6:71299008	UTR3	C6orf57	-0.214117647	0.000430553	0.030502848
ND-MSC-mir138-KD	chr6:72119594	ncRNA_intronic	RP3-331H24.5	0.217142857	0.001089478	0.049527079
ND-MSC-mir138-KD	chr6:74224024	intergenic	"MTO1,EEF1A1"	-0.38961039	0.000142508	0.017261396
ND-MSC-mir138-KD	chr6:74224330	intergenic	"MTO1,EEF1A1"	-0.246153846	0.00023104	0.0221851
ND-MSC-mir138-KD	chr6:86255467	intronic	SNX14	0.297979798	0.000104791	0.014553541
ND-MSC-mir138-KD	chr6:86255499	intronic	SNX14	0.39010989	7.17E-05	0.012426134
ND-MSC-mir138-KD	chr6:86255665	intronic	SNX14	0.395238095	3.22E-05	0.008296289
ND-MSC-mir138-KD	chr6:86380674	intergenic	"SYNCRIP,SNHG5"	-0.200258398	8.16E-05	0.013451375
ND-MSC-mir138-KD	chr6:99317492	UTR3	FBXL4	0.337690632	0.00035655	0.027776372
ND-MSC-mir138-KD	chr6:99321586	UTR3	FBXL4	-0.303571429	0.000187155	0.019872219
ND-MSC-mir138-KD	chr7:100453006	intronic	SLC12A9	0.4	7.57E-05	0.012833144
ND-MSC-mir138-KD	chr7:100889677	intronic	FIS1	0.5	2.42E-06	0.002269713
ND-MSC-mir138-KD	chr7:100956388	intergenic	"RP11-132A1.4,RABL5"	0.346153846	0.000249351	0.023096359
ND-MSC-mir138-KD	chr7:100956544	downstream	RABL5	0.311594203	0.00032692	0.026646119
ND-MSC-mir138-KD	chr7:102035490	intronic	PRKRIP1	0.341176471	0.000153201	0.01793208
ND-MSC-mir138-KD	chr7:102193956	intronic	"RP11-514P8.7,SPDYE2"	0.166982922	0.000773082	0.041610351
ND-MSC-mir138-KD	chr7:102205267	intronic	RP11-514P8.7	0.138857783	0.001023757	0.048093038
ND-MSC-mir138-KD	chr7:102206520	UTR3	POLR2J3	0.168663594	0.000158636	0.018117798
ND-MSC-mir138-KD	chr7:102303664	intronic	POLR2J2	0.362962963	0.00011843	0.015540351
ND-MSC-mir138-KD	chr7:104646154	ncRNA_intronic	LINC01004	0.361538462	0.000226742	0.021993063
ND-MSC-mir138-KD	chr7:111984659	ncRNA_intronic	AC004112.4	0.622222222	1.17E-07	0.00045503
ND-MSC-mir138-KD	chr7:111984686	ncRNA_intronic	AC004112.4	0.395238095	0.000111623	0.015040623
ND-MSC-mir138-KD	chr7:111985685	ncRNA_intronic	AC004112.4	-0.51048951	0.000441275	0.030809343
ND-MSC-mir138-KD	chr7:111994808	ncRNA_intronic	AC004112.4	0.503030303	2.88E-05	0.008095971
ND-MSC-mir138-KD	chr7:121716106	downstream	AASS	-0.235789474	0.000872625	0.04408277
ND-MSC-mir138-KD	chr7:127944997	UTR3	RBM28	0.15	0.000886428	0.044379856
ND-MSC-mir138-KD	chr7:128125385	ncRNA_intronic	RP11-212P7.3	0.288888889	2.26E-05	0.007209984
ND-MSC-mir138-KD	chr7:128146013	UTR3	METTL2B	0.475113122	0.000504954	0.032695193
ND-MSC-mir138-KD	chr7:128168862	ncRNA_exonic	RP11-212P7.2	0.6	2.14E-06	0.002154277
ND-MSC-mir138-KD	chr7:128295797	intergenic	"RP11-274B21.1,RP11-274B21.10"	0.192939245	0.000366811	0.028051914
ND-MSC-mir138-KD	chr7:128326746	upstream	RP11-274B21.8	-0.307407407	0.000428795	0.030455112
ND-MSC-mir138-KD	chr7:129127993	UTR3	STRIP2	-0.194117647	0.000139361	0.017154669
ND-MSC-mir138-KD	chr7:135417237	intronic	FAM180A	-0.10961171	0.001020609	0.048093038
ND-MSC-mir138-KD	chr7:148942211	intronic	ZNF212	-0.5125	0.000248997	0.023096359
ND-MSC-mir138-KD	chr7:157047719	intronic	UBE3C	0.266666667	0.000614625	0.036921397
ND-MSC-mir138-KD	chr7:157169506	intronic	DNAJB6	-0.242424242	0.000624791	0.037279096
ND-MSC-mir138-KD	chr7:157169537	intronic	DNAJB6	-0.255060729	9.03E-05	0.014055545
ND-MSC-mir138-KD	chr7:158530714	intronic	ESYT2	0.240697674	4.82E-06	0.003498232
ND-MSC-mir138-KD	chr7:158530839	intronic	ESYT2	0.383333333	3.76E-06	0.002901441
ND-MSC-mir138-KD	chr7:158530842	intronic	ESYT2	0.437931034	9.40E-05	0.014089757
ND-MSC-mir138-KD	chr7:158530848	intronic	ESYT2	0.227272727	5.19E-05	0.010744829
ND-MSC-mir138-KD	chr7:158530881	intronic	ESYT2	0.434848485	0.000109289	0.014922924
ND-MSC-mir138-KD	chr7:158530891	intronic	ESYT2	0.407484407	0.000161381	0.018244765
ND-MSC-mir138-KD	chr7:158530920	intronic	ESYT2	0.284926471	2.84E-05	0.008094704
ND-MSC-mir138-KD	chr7:158531310	intronic	ESYT2	0.185507246	0.000644776	0.037781959
ND-MSC-mir138-KD	chr7:158531345	intronic	ESYT2	0.161538462	0.000461868	0.031475028
ND-MSC-mir138-KD	chr7:158562730	intronic	ESYT2	-0.318181818	0.000595286	0.036111417
ND-MSC-mir138-KD	chr7:22515521	intronic	STEAP1B	-0.428571429	0.000379581	0.028694622
ND-MSC-mir138-KD	chr7:23227477	intronic	"AC005082.1,NUPL2"	-0.300925926	0.000952223	0.046363219
ND-MSC-mir138-KD	chr7:23229270	intronic	"AC005082.1,NUPL2"	-0.341032609	0.00015386	0.01793208
ND-MSC-mir138-KD	chr7:23536733	intergenic	"Y_RNA,TRA2A"	-0.533333333	2.34E-07	0.000588095
ND-MSC-mir138-KD	chr7:23540330	intergenic	"Y_RNA,TRA2A"	-0.111111111	0.000450801	0.031109791
ND-MSC-mir138-KD	chr7:23542227	intergenic	"Y_RNA,TRA2A"	-0.228571429	6.20E-05	0.011542063
ND-MSC-mir138-KD	chr7:2485276	ncRNA_intronic	AC004840.9	0.475113122	0.000676993	0.03874934
ND-MSC-mir138-KD	chr7:25159978	UTR3	CYCS	0.427272727	0.000571797	0.035323524
ND-MSC-mir138-KD	chr7:26211007	intronic	NFE2L3	-0.223076923	0.000152803	0.01793208
ND-MSC-mir138-KD	chr7:30600039	ncRNA_intronic	AC005154.6	0.25	9.34E-05	0.014055545
ND-MSC-mir138-KD	chr7:38763241	UTR3	VPS41	-0.268398268	0.000675427	0.03874934
ND-MSC-mir138-KD	chr7:44022100	ncRNA_intronic	"POLR2J4,RP5-1165K10.2"	-0.182352941	0.000975381	0.047088066
ND-MSC-mir138-KD	chr7:44614455	upstream	DDX56	0.218894009	7.26E-05	0.012517478
ND-MSC-mir138-KD	chr7:44614480	upstream	DDX56	0.193902439	9.31E-05	0.014055545
ND-MSC-mir138-KD	chr7:44813009	intergenic	"ZMIZ2,AC013436.6"	0.27090301	0.000119777	0.015689342
ND-MSC-mir138-KD	chr7:44813030	intergenic	"ZMIZ2,AC013436.6"	0.249122807	0.000838491	0.043364946
ND-MSC-mir138-KD	chr7:44813252	intergenic	"ZMIZ2,AC013436.6"	0.296992481	7.58E-05	0.012833144
ND-MSC-mir138-KD	chr7:4826868	intronic	AP5Z1	0.249122807	0.000785203	0.041860273
ND-MSC-mir138-KD	chr7:50506821	intergenic	"RNU6-1091P,FIGNL1"	-0.614285714	0.000681478	0.038810019
ND-MSC-mir138-KD	chr7:5368742	intronic	TNRC18	0.361538462	0.00046816	0.031660354
ND-MSC-mir138-KD	chr7:55525535	intergenic	"LANCL2,VOPP1"	0.287593985	0.000433949	0.030505414
ND-MSC-mir138-KD	chr7:55803686	intergenic	"FKBP9L,RNU6-1126P"	0.462121212	0.000300638	0.025428095
ND-MSC-mir138-KD	chr7:56143695	intronic	SUMF2	0.383333333	0.000167258	0.018698493
ND-MSC-mir138-KD	chr7:5639960	intronic	FSCN1	-0.436363636	0.000102411	0.014553541
ND-MSC-mir138-KD	chr7:5640192	intronic	FSCN1	-0.266666667	0.000691428	0.03922439
ND-MSC-mir138-KD	chr7:6446190	intergenic	"RAC1,DAGLB"	0.33409611	0.00046756	0.031660354
ND-MSC-mir138-KD	chr7:6446440	intergenic	"RAC1,DAGLB"	-0.4	1.22E-05	0.005312036
ND-MSC-mir138-KD	chr7:65189011	intergenic	"INTS4L2,CCT6P1"	0.256410256	0.000658179	0.038188905
ND-MSC-mir138-KD	chr7:65623917	ncRNA_intronic	RP5-1132H15.1	-0.273076923	2.82E-05	0.008094704
ND-MSC-mir138-KD	chr7:65805816	intronic	TPST1	-0.438461538	6.13E-06	0.003750281
ND-MSC-mir138-KD	chr7:65977198	intergenic	"GS1-124K5.4,GS1-124K5.11"	-0.344444444	3.12E-05	0.008194344
ND-MSC-mir138-KD	chr7:65984730	intergenic	"GS1-124K5.4,GS1-124K5.11"	0.384615385	0.000226433	0.021991965
ND-MSC-mir138-KD	chr7:65989220	intergenic	"GS1-124K5.4,GS1-124K5.11"	-0.325757576	0.000864611	0.044008355
ND-MSC-mir138-KD	chr7:65998105	ncRNA_intronic	GS1-124K5.11	0.4	0.000148819	0.017707078
ND-MSC-mir138-KD	chr7:66008423	upstream	GS1-124K5.11	0.249019608	0.000254088	0.023307773
ND-MSC-mir138-KD	chr7:66009834	intergenic	"GS1-124K5.11,KCTD7"	0.328571429	0.000153816	0.01793208
ND-MSC-mir138-KD	chr7:66012737	intergenic	"GS1-124K5.11,KCTD7"	0.234848485	0.000253376	0.02330289
ND-MSC-mir138-KD	chr7:66013217	intergenic	"GS1-124K5.11,KCTD7"	0.285714286	0.000412103	0.029936511
ND-MSC-mir138-KD	chr7:66014081	intergenic	"GS1-124K5.11,KCTD7"	0.163865546	0.00038682	0.028994537
ND-MSC-mir138-KD	chr7:66145947	intergenic	"RP4-756H11.3,RP11-792A8.4"	0.357142857	0.000511362	0.032965941
ND-MSC-mir138-KD	chr7:66152060	intergenic	"RP4-756H11.3,RP11-792A8.4"	0.253918495	6.30E-05	0.011550082
ND-MSC-mir138-KD	chr7:66166635	intergenic	"RP4-756H11.3,RP11-792A8.4"	0.357142857	0.000761684	0.041157244
ND-MSC-mir138-KD	chr7:66172499	intergenic	"RP4-756H11.3,RP11-792A8.4"	-0.227329193	0.000443915	0.030903046
ND-MSC-mir138-KD	chr7:66172564	intergenic	"RP4-756H11.3,RP11-792A8.4"	0.236111111	0.000290929	0.024978046
ND-MSC-mir138-KD	chr7:66172662	intergenic	"RP4-756H11.3,RP11-792A8.4"	-0.183600713	0.00084403	0.043529607
ND-MSC-mir138-KD	chr7:66181846	intergenic	"RP4-756H11.3,RP11-792A8.4"	0.252525253	0.000480228	0.03215265
ND-MSC-mir138-KD	chr7:66211697	intronic	"KCTD7,RABGEF1"	0.292207792	0.000495405	0.032417277
ND-MSC-mir138-KD	chr7:66346076	intergenic	"GTF2IRD1P1,RNU6-1254P"	-0.191666667	4.28E-05	0.009452844
ND-MSC-mir138-KD	chr7:72464935	intronic	AC005488.1	-0.265789474	0.000452058	0.031150783
ND-MSC-mir138-KD	chr7:72468394	ncRNA_exonic	STAG3L3	0.457142857	0.000243857	0.022935633
ND-MSC-mir138-KD	chr7:73482183	intronic	ELN	0.155080214	0.000851541	0.0437341
ND-MSC-mir138-KD	chr7:74297508	intergenic	"GTF2IRD2,STAG3L2"	-0.184042553	0.000929452	0.045735953
ND-MSC-mir138-KD	chr7:74998829	ncRNA_intronic	STAG3L1	0.5	0.000165002	0.018474251
ND-MSC-mir138-KD	chr7:75298861	intronic	HIP1	0.280952381	9.10E-05	0.014055545
ND-MSC-mir138-KD	chr7:75312451	intronic	HIP1	-0.294736842	0.000181181	0.019562134
ND-MSC-mir138-KD	chr7:75312464	intronic	HIP1	-0.175925926	0.00094766	0.046201846
ND-MSC-mir138-KD	chr7:75321941	intronic	HIP1	0.557142857	2.04E-05	0.006667344
ND-MSC-mir138-KD	chr7:75323402	intronic	HIP1	0.208791209	0.000940836	0.04605116
ND-MSC-mir138-KD	chr7:75337799	intronic	HIP1	0.191142191	0.00043258	0.030502848
ND-MSC-mir138-KD	chr7:75338078	intronic	HIP1	0.25	0.000112726	0.015040623
ND-MSC-mir138-KD	chr7:75348984	intronic	HIP1	0.596590909	1.52E-07	0.000562685
ND-MSC-mir138-KD	chr7:75355766	intronic	HIP1	0.202857143	0.000300411	0.025428095
ND-MSC-mir138-KD	chr7:75357118	intronic	HIP1	0.366071429	0.001058277	0.048889497
ND-MSC-mir138-KD	chr7:75511905	intronic	RHBDD2	0.383333333	0.000785711	0.041860273
ND-MSC-mir138-KD	chr7:7620929	intronic	MIOS	0.531772575	2.39E-07	0.000588095
ND-MSC-mir138-KD	chr7:76239690	ncRNA_intronic	AC004980.7	0.323308271	0.00016172	0.018244765
ND-MSC-mir138-KD	chr7:76241282	ncRNA_intronic	AC004980.7	0.416666667	2.60E-05	0.007801731
ND-MSC-mir138-KD	chr7:76241351	ncRNA_intronic	AC004980.7	-0.210227273	0.001034094	0.048282491
ND-MSC-mir138-KD	chr7:7634115	intronic	MIOS	0.245098039	0.000701181	0.039492371
ND-MSC-mir138-KD	chr7:76654746	intergenic	"DTX2P1-UPK3BP1-PMS2P11,Y_RNA"	-0.316742081	0.001065465	0.048927819
ND-MSC-mir138-KD	chr7:76694265	ncRNA_intronic	RP11-467H10.2	-0.175925926	0.000858716	0.043874153
ND-MSC-mir138-KD	chr7:77411182	UTR3	RSBN1L	-0.465240642	3.42E-05	0.008351664
ND-MSC-mir138-KD	chr7:77411191	UTR3	RSBN1L	-0.44047619	0.000276497	0.024331753
ND-MSC-mir138-KD	chr7:81629311	intronic	CACNA2D1	0.548245614	3.04E-06	0.002682165
ND-MSC-mir138-KD	chr7:81629320	intronic	CACNA2D1	0.476190476	4.84E-05	0.010316389
ND-MSC-mir138-KD	chr7:81629426	intronic	CACNA2D1	0.370629371	0.000181309	0.019562134
ND-MSC-mir138-KD	chr7:81629931	intronic	CACNA2D1	0.435897436	0.000933987	0.045837197
ND-MSC-mir138-KD	chr7:86815770	intronic	DMTF1	0.285714286	0.000457048	0.031337896
ND-MSC-mir138-KD	chr7:90018866	UTR3	GTPBP10	-0.375	0.00083931	0.043364946
ND-MSC-mir138-KD	chr7:90019367	UTR3	GTPBP10	0.423280423	9.32E-06	0.004599741
ND-MSC-mir138-KD	chr7:91720841	intronic	AKAP9	0.268115942	0.000662504	0.038335082
ND-MSC-mir138-KD	chr7:91722061	intronic	AKAP9	0.342424242	9.06E-05	0.014055545
ND-MSC-mir138-KD	chr7:92121584	intronic	PEX1	0.564171123	9.98E-07	0.001476568
ND-MSC-mir138-KD	chr7:924654	ncRNA_exonic	RP11-449P15.2	0.217317487	0.00051389	0.03307131
ND-MSC-mir138-KD	chr7:97928731	intronic	BAIAP2L1	0.355555556	9.70E-05	0.014212493
ND-MSC-mir138-KD	chr7:99081133	intronic	ZNF789	-0.322128852	4.24E-05	0.009386246
ND-MSC-mir138-KD	chr7:99081163	intronic	ZNF789	-0.341666667	0.000297734	0.025356344
ND-MSC-mir138-KD	chr7:99166507	intronic	"GS1-259H13.10,ZNF655"	0.223076923	0.000332882	0.026983523
ND-MSC-mir138-KD	chr7:99712730	intronic	TAF6	0.394444444	1.74E-06	0.00197711
ND-MSC-mir138-KD	chr7:99712756	intronic	TAF6	0.166176471	0.000520985	0.033238815
ND-MSC-mir138-KD	chr7:99748920	intronic	LAMTOR4	-0.261904762	0.000497594	0.032426089
ND-MSC-mir138-KD	chr7:99749905	intronic	LAMTOR4	-0.257918552	0.000446012	0.030964755
ND-MSC-mir138-KD	chr7:99960367	ncRNA_intronic	STAG3L5P-PVRIG2P-PILRB	0.318681319	0.000275696	0.024290119
ND-MSC-mir138-KD	chr8:121067271	ncRNA_intronic	RP11-760H22.2	-0.334736842	6.32E-05	0.011550082
ND-MSC-mir138-KD	chr8:131120824	intronic	ASAP1	0.446153846	2.57E-05	0.007801731
ND-MSC-mir138-KD	chr8:131120879	intronic	ASAP1	0.316666667	0.000218095	0.021578603
ND-MSC-mir138-KD	chr8:144109455	intergenic	"LY6E,C8orf31"	-0.183946488	0.001024429	0.048093038
ND-MSC-mir138-KD	chr8:144677579	intronic	EEF1D	-0.20401811	0.000305719	0.025740186
ND-MSC-mir138-KD	chr8:144975439	intergenic	"EPPK1,PLEC"	-0.152806653	0.000125821	0.016168967
ND-MSC-mir138-KD	chr8:145974687	intronic	ZNF251	0.477777778	0.000209814	0.021126446
ND-MSC-mir138-KD	chr8:146034427	UTR3	ZNF517	0.290598291	0.000151616	0.017881212
ND-MSC-mir138-KD	chr8:22114999	ncRNA_intronic	CTD-2530N21.4	-0.292270531	7.07E-05	0.012336917
